,Time,Position
157,1654101111.9345026,front
158,1654101112.081682,front
159,1654101112.2307665,front
160,1654101112.3762693,front
161,1654101112.5231595,front
162,1654101112.670208,front
163,1654101112.8182273,front
164,1654101112.9662595,front
165,1654101113.1132922,front
166,1654101113.2613258,front
167,1654101113.4083722,front
168,1654101113.557905,front
169,1654101113.7034447,front
170,1654101113.8504746,front
171,1654101113.9965236,front
172,1654101114.143541,front
173,1654101114.2891884,front
174,1654101114.443205,front
175,1654101114.5912418,front
176,1654101114.7389185,front
177,1654101114.8869498,front
178,1654101115.0329888,front
179,1654101115.1790185,front
180,1654101115.3251042,front
181,1654101115.4742177,front
182,1654101115.620644,front
183,1654101115.766664,front
184,1654101115.911698,front
185,1654101116.0588732,front
186,1654101116.2042913,front
187,1654101116.3528342,front
188,1654101116.5000021,front
189,1654101116.6494303,front
190,1654101116.7944477,front
191,1654101116.940495,front
192,1654101117.08553,front
193,1654101117.2315636,left Side
194,1654101117.3765786,left Side
195,1654101117.5226142,left Side
196,1654101117.6736486,left Side
197,1654101117.8207204,front
198,1654101117.9667416,front
199,1654101118.1137683,front
200,1654101118.2588646,front
201,1654101118.4078372,front
202,1654101118.5538712,front
203,1654101118.7005684,front
204,1654101118.8486044,front
205,1654101118.993647,front
206,1654101119.1416755,front
207,1654101119.2887142,front
208,1654101119.4347434,front
209,1654101119.5847006,front
210,1654101119.7317343,front
211,1654101119.8827684,front
212,1654101120.0377738,front
213,1654101120.1898081,front
214,1654101120.3388412,front
215,1654101120.4988787,front
216,1654101120.6551673,left Side
217,1654101120.8072257,front
218,1654101120.9563484,front
219,1654101121.1055844,left Side
220,1654101121.2523277,left Side
221,1654101121.4001772,left Side
222,1654101121.548216,left Side
223,1654101121.6942441,left Side
224,1654101121.8446395,left Side
225,1654101121.9930098,front
226,1654101122.1445587,front
227,1654101122.293134,front
228,1654101122.4444833,front
229,1654101122.5915315,front
230,1654101122.7405653,front
231,1654101122.8885853,front
232,1654101123.035616,front
233,1654101123.1846502,front
234,1654101123.3306994,front
235,1654101123.478109,front
236,1654101123.6252747,front
237,1654101123.7743077,front
238,1654101123.9193423,front
239,1654101124.0663757,front
240,1654101124.2164075,front
241,1654101124.362443,front
242,1654101124.5116296,front
243,1654101124.6576812,front
244,1654101124.807698,front
245,1654101124.9527454,front
246,1654101125.100047,front
247,1654101125.248661,front
248,1654101125.3966975,front
249,1654101125.543761,front
250,1654101125.6898053,front
251,1654101125.835824,front
252,1654101125.984854,front
253,1654101126.1530757,front
254,1654101126.298988,front
255,1654101126.4455616,front
256,1654101126.5925763,front
257,1654101126.7396934,front
258,1654101126.8856854,front
259,1654101127.031222,front
260,1654101127.176865,front
261,1654101127.3234944,front
262,1654101127.471527,front
263,1654101127.6253903,front
264,1654101127.7759373,front
265,1654101127.923495,front
266,1654101128.070933,front
267,1654101128.2176964,front
268,1654101128.364729,front
269,1654101128.5113094,front
270,1654101128.6573386,front
271,1654101128.8024063,front
272,1654101128.9504395,front
273,1654101129.0964694,left Side
274,1654101129.2435513,left Side
275,1654101129.3916397,left Side
276,1654101129.5446723,left Side
277,1654101129.6987062,left Side
278,1654101129.8547509,left Side
279,1654101130.0077858,left Side
280,1654101130.1610184,left Side
281,1654101130.3140478,left Side
282,1654101130.4670827,left Side
283,1654101130.6161382,left Side
284,1654101130.7679892,left Side
285,1654101130.9140184,left Side
286,1654101131.0610547,left Side
287,1654101131.2072723,left Side
288,1654101131.355305,left Side
289,1654101131.508341,left Side
290,1654101131.6563962,left Side
291,1654101131.8064306,left Side
292,1654101131.954464,left Side
293,1654101132.1045027,left Side
294,1654101132.2525315,left Side
295,1654101132.4015656,left Side
296,1654101132.5495987,left Side
297,1654101132.6976337,left Side
298,1654101132.845665,left Side
299,1654101132.9916992,left Side
300,1654101133.1467524,left Side
301,1654101133.2927828,left Side
302,1654101133.4389598,left Side
303,1654101133.585833,left Side
304,1654101133.734867,left Side
305,1654101133.8829107,left Side
306,1654101134.0309458,left Side
307,1654101134.1809778,left Side
308,1654101134.325742,left Side
309,1654101134.4727945,left Side
310,1654101134.6198304,left Side
311,1654101134.768149,left Side
312,1654101134.9177308,left Side
313,1654101135.071772,left Side
314,1654101135.218943,left Side
315,1654101135.3647356,left Side
316,1654101135.5127678,left Side
317,1654101135.658803,left Side
318,1654101135.8058536,left Side
319,1654101135.951883,left Side
320,1654101136.098901,left Side
321,1654101136.245279,left Side
322,1654101136.3923388,left Side
323,1654101136.538437,left Side
324,1654101136.6836839,left Side
325,1654101136.8308122,left Side
326,1654101136.9768884,left Side
327,1654101137.1239235,left Side
328,1654101137.2719553,front
329,1654101137.4189906,front
330,1654101137.5653162,front
331,1654101137.711331,front
332,1654101137.8593655,front
333,1654101138.0069103,front
334,1654101138.152961,front
335,1654101138.3028817,front
336,1654101138.4515438,front
337,1654101138.5985775,front
338,1654101138.7476153,front
339,1654101138.8946443,front
340,1654101139.0406785,front
341,1654101139.1867287,front
342,1654101139.339757,front
343,1654101139.488786,front
344,1654101139.6398342,front
345,1654101139.7913618,front
346,1654101139.943394,front
347,1654101140.0964289,front
348,1654101140.2476861,front
349,1654101140.3927171,right Side
350,1654101140.5390408,right Side
351,1654101140.6840901,right Side
352,1654101140.8311083,right Side
353,1654101140.9781404,right Side
354,1654101141.128175,right Side
355,1654101141.2752252,right Side
356,1654101141.4202545,right Side
357,1654101141.5701964,front
358,1654101141.71823,front
359,1654101141.8662634,front
360,1654101142.0122983,front
361,1654101142.1583288,front
362,1654101142.3053627,front
363,1654101142.4512873,front
364,1654101142.6028101,front
365,1654101144.3673973,front
366,1654101144.5124376,front
367,1654101144.657311,front
368,1654101144.8043444,front
369,1654101144.9533765,front
370,1654101145.0994105,front
371,1654101145.2454607,front
372,1654101145.3914938,front
373,1654101145.5395281,front
374,1654101145.6855435,right Side
375,1654101145.8345761,right Side
376,1654101145.9826107,right Side
377,1654101146.12866,right Side
378,1654101146.2737,right Side
379,1654101146.4207358,right Side
380,1654101146.5669882,right Side
381,1654101146.7140374,right Side
382,1654101146.8615959,right Side
383,1654101147.0086336,right Side
384,1654101147.15568,right Side
385,1654101147.303206,right Side
386,1654101147.4512558,right Side
387,1654101147.5969052,front
388,1654101147.7419388,front
389,1654101147.888957,front
